ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Utilization activity,Metabolite (production)
,,,,,,,hydrogen sulfide
,,,,,,,indole
14943,,"DSM 40313, ATCC 25426, ATCC 3004, BCRC 10802, CBS 410.63, CBS 924.69, CCUG 33990, CECT 3077, CGMCC 4.1640, CIP 104432, ETH 20200, HUT 6613, IFM 1119, IMET 40241, ISP 5313, JCM 4177, JCM 4450, KCTC 1082, NBRC 13014, NBRC 3710, NCIMB 9558, NRRL B-1811, NRRL B-2208, RIA 1206, VKM Ac-35, IMRU 3004, IFO 13014, IFO 3710, NBIMCC 2385, VTT E-991426, KCC S-0177",1,1,Streptomyces albus subsp. albus,+,indole
16453,D65,"DSM 42036, CGMCC 4.3510, NRRL B-24611, JCM 16122",1,1,Streptomyces alni,+,daidzein
,,,,,,,N-acetyltyramine
14970,245-22,"DSM 40092, ATCC 19724, CBS 463.68, IFO 12740, ISP 5092, NBRC 12740, RIA 1005, JCM 4344, BCRC 13686, CGMCC 4.1608, IFO 15956, KCTC 9752, NBRC 15956, NRRL B-3981, VKM Ac-705",1,1,Streptomyces althioticus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,matamycin
14971,,"DSM 40219, ATCC 23876, CBS 615.68, IFO 12835, ISP 5219, JCM 4167, JCM 4617, NBRC 12835, RIA 1163, BCRC 13797, CGMCC 4.1462, KCTC 9753, LMG 19350, NRRL B-3351, VKM Ac-995",1,1,Streptomyces amakusaensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
14974,,"DSM 40053, ATCC 23877, CBS 616.68, IFO 12836, ISP 5053, JCM 4204, NBRC 12836, RIA 1115, BCRC 11857, CECT 3101, CGMCC 4.1528, JCM 4618, KCTC 9111, NBIMCC 1863, NRRL B-2516",1,1,Streptomyces ambofaciens,+,acetoin
,,,,,,,congocidin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,spiramycin
141107,1H-SSA8,"CGMCC 4.7350, DSM 103128",1,1,Streptomyces amphotericinicus,+,amphotericin b
,,,,,,,sulfide
14976,,"DSM 40535, ATCC 19388, CBS 739.72, IFO 13438, ISP 5535, ITCC 1233, JCM 4720, NBRC 13438, RIA 1399, BCRC 11825, CGMCC 4.1314, KCTC 9687, LMG 8600, NRRL B-12487, NRRL B-3590, VKM Ac-1920",1,1,Streptomyces anandii,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16326,,"DSM 41683, ATCC 15484, IAM 6A-704, IFO 3934, JCM 4053, KCC S-0053, NBRC 3934, NRRL B-2347, CGMCC 4.1918, CIP 106838, KCTC 1089, NRRL B-3306, VTT E-072759",1,1,Streptomyces angustmyceticus,+,angustmycin
,,,,,,,indole
16177,69,"DSM 41422, ATCC 19821, INMI 69, NRRL B-12341, JCM 5058, CGMCC 4.1683, IFO 14892, KCTC 9755, NBRC 14892, NRRL B-24292",1,1,Streptomyces violaceoruber,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
159778,,"KCTC 39610, CCTCC AA 2015009, TRM 46399",1,1,Streptomyces aqsuensis,+,hydrogen sulfide
132442,ZLN 234,"DSM 100713, CCTCC AA 2015005",1,1,Streptomyces arcticus,+,hydrogen sulfide
,,,,,,,melanin
16146,,"DSM 40527, ATCC 27417, CBS 731.72, IFO 13430, ISP 5527, JCM 4543, JCM 4722, NBRC 13430, NRRL 2817, RIA 1391, UC 2500, BCRC 12319, CECT 3254, CGMCC 4.1670, CIP 108147, KCTC 9887, NBIMCC 1592, NCB 99, VKM Ac-930, CCRC 12319, KCC S-0722, AS 4.167",1,1,Streptomyces ardus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,porfiromycin
15001,NA 269-M2,"DSM 40293, ATCC 25428, CBS 926.69, ETH 24429, IFO 13016, ISP 5293, NBRC 13016, NRRL 2377, RIA 1208, JCM 4452, BCRC 11827, CGMCC 4.1610, VKM Ac-1201",1,1,Streptomyces arenae,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16468,"A-9814, BL-504, KK 317, MA 6475, KK317","DSM 40822, ATCC 14891, CGMCC AS 4.1388, IFO 13981, JCM 4964, KCC S-0964, NBRC 13981, BCRC 11823, CECT 3139, CIP 106837, IFM 1253, HUT 6598",1,1,Streptomyces ascomycinicus,+,ascomycin
,,,,,,,indole
16351,A14P1,"DSM 41761, CGMCC 4.1983, NCIMB 13675, JCM 11443, NBRC 100774",1,1,Streptomyces asiaticus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16189,,"DSM 41452, INMI 16, JCM 6912, VKM Ac-40, BCRC 16848, CGMCC 4.1605, IFO 15872, NBRC 15872, NRRL B-24328",1,1,Streptomyces calvus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16320,,"DSM 41673, ATCC 14046, IFO 3897, JCM 3386, NBRC 3897, CBS 364.68, CGMCC 4.1632, NRRL B-16927",1,1,Streptomyces atratus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15005,,"DSM 40137, ATCC 19725, CBS 464.68, IFO 12741, INA 4776/54, ISP 5137, NBRC 12741, RIA 1006, CCUG 11112, CIP 108257, JCM 4345, BCRC 12073, CECT 3316, CGMCC 4.1405, IMET 43088, INA 4776, LMG 19306, NRRL ISP-5137, VKM Ac-970, VTT E-052933, CBS 464-68, IPV 1612",1,1,Streptomyces atroolivaceus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16201,,"DSM 41467, INA 1551, JCM 6913, CGMCC 4.1595, IFO 15388, NBRC 15388, NRRL B-16357, VKM Ac-1213",1,1,Streptomyces atrovirens,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15008,,"DSM 40412, ATCC 19822, ATCC 25429, CBS 927.69, IFO 13017, INMI 1373, ISP 5412, NBRC 13017, RIA 1209, JCM 4453, BCRC 16233, CGMCC 4.1429, LMG 19358, NRRL ISP-5412, VKM Ac-44",1,1,Streptomyces aurantiacus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15012,,"DSM 40138, ATCC 19887, CBS 663.68, ETH 27525, IFO 12842, INA 10369/58, ISP 5138, NBRC 12842, RIA 1130, JCM 4346, ATCC 23883, BCRC 13758, CGMCC 4.1450, LMG 19298, NCIMB 9849, NRRL B-5416, VKM Ac-1093",1,1,Streptomyces aurantiogriseus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15014,40386,"DSM 40386, ATCC 15851, ATCC 19823, ATCC 25430, CBS 928.69, IFO 13018, INMI 735, ISP 5386, NBRC 13018, RIA 1210, RIA 682, JCM 4454, BCRC 16227, CGMCC 4.1609, NRRL B-3324, NRRL ISP-5386, VKM Ac-1826",1,1,Streptomyces aureocirculatus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16333,,"DSM 41692, IFO 15896, INA A-78, NBRC 15896, RIA 553, VKM Ac-1828, JCM 9947, CGMCC 4.1944, NBIMCC 3603, NRRL B-24301",1,1,Streptomyces calvus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15036,INMI-1077,"DSM 40080, ATCC 15854, CBS 465.68, IFO 12742, ISP 5080, NBRC 12742, RIA 1007, RIA 679, JCM 4347, ATCC 19726, BCRC 12185, CGMCC 4.1666, INMI 1007, NRRL B-3326, VKM Ac-48",1,1,Streptomyces aureoverticillatus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15038,B7319,"DSM 41785, NCIMB 13927, JCM 12605, CGMCC 4.1833, CIP 108188, NBRC 100912",1,1,Streptomyces aureus,+,acetoin
,,,,,,,dinitrogen
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
16214,MA-4680,"DSM 46492, ATCC 31267, CIP 107838, FERM P-4027, IMET 43778, JCM 5070, KCC S-1070, NRRL 8165, BCRC 12382, CECT 3280, CGMCC 4.1807, CGMCC 4.2072, IFO 14893, KCTC 9063, KCTC 9698, NBIMCC 3394, NBRC 14893, NCIMB 12804, VKM Ac-1301, VTT E-042732",1,1,Streptomyces avermitilis,+,acetoin
,,,,,,,avermectin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15040,MA-833,"DSM 40526, ATCC 27419, CBS 730.72, IFO 13429, ISP 5526, NBRC 13429, NRRL 3077, RIA 1390, CCUG 54639, NCIMB 11996, JCM 4726, BCRC 13384, CGMCC 4.1583, IMET 43538, KCTC 9757, MTCC 1808, PCM 2342, VKM Ac-1074",1,1,Streptomyces avidinii,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16458,"Pol001, P01001","DSM 41948, CIP 109838, JCM 16373",1,1,Streptomyces axinellae,+,indole
15042,SC-2364,"DSM 40106, ATCC 14921, CBS 467.68, ETH 28555, IFO 12744, ISP 5106, JCM 4217, JCM 4564, NBRC 12744, RIA 1009, ATCC 19728, BCRC 12479, CGMCC 4.1675, IMET 43765, MTCC 3023, NBIMCC 1035, NRRL B-2655, PCM 2313, VKM Ac-719",1,1,Streptomyces azureus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,thiostrepton
15044,,"DSM 40598, ATCC 15855, CBS 788.72, IFO 13487, INMI 445, ISP 5598, NBRC 13487, RIA 1448, RIA 336, JCM 4727, BCRC 15181, CGMCC 4.1584, KCTC 9018, LMG 8585, NRRL B-3038, VKM Ac-58",1,1,Streptomyces bacillaris,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15046,1203/53,"DSM 40139, ATCC 19729, ATCC 19888, CBS 468.68, IFO 12745, ISP 5139, NBRC 12745, RIA 1010, JCM 4350, BCRC 13759, CGMCC 4.1406, HAMBI 1008, IMET 43089, INA 1203/53, LMG 19353, NBIMCC 3320, NCIMB 13011, NRRL B-2567, VKM Ac-735",1,1,Streptomyces badius,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16428,AAB-4,"DSM 41874, LMG 22738, NRRL B-24326, JCM 14924, NBRC 102113",1,1,Streptomyces bangladeshensis,+,bis(2-ethylhexyl)phthalate
,,,,,,,hydrogen sulfide
16366,,"DSM 41794, AS 4.1718, CCRC 16309, CCTCC 99005, JCM 11882, YIM 6, BCRC 16309, CGMCC 4.1718, CIP 107862, KCTC 9970, NBRC 100044",1,1,Streptomyces beijiangensis,+,indole
15048,A/870,"DSM 40185, AS 4.1376, ATCC 14925, ATCC 23886, CBS 666.68, IFO 12844, ISP 5185, JCM 4292, JCM 4625, NBRC 12844, RIA 1139, BCRC 13783, CGMCC 4.1376, IMET 42062, NCIMB 9818, NRRL B-2575, PCM 2314, VKM Ac-573",1,1,Streptomyces bellus,+,acetoin
,,,,,,,althiomycin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15049,,"DSM 40581, ATCC 11062, ETH 14303, IMRU 3514, ISP 5581, JCM 4011, NRRL B-1049, BCRC 15171, CBS 412.54, CGMCC 4.0569, HUT 6084, IFM 1057, IFO 14598, IMET 41362, KCTC 9172, MTCC 1539, NBIMCC 1504, NBRC 14598, NRRL B-2690, NRRL ISP-5581, RIA 471, RIA 74, VKM Ac-999, VTT E-82155",1,1,Streptomyces bikiniensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15052,"445 D1, 445-D1","DSM 40029, ATCC 19731, CBS 470.68, ETH 31571, IFO 12747, ISP 5029, NBRC 12747, RIA 1012, JCM 4184, BCRC 13387, CECT 3257, CGMCC 4.1647, CIP 108151, JCM 4565, NCB 77, NCIMB 9800, NRRL B-5480, VKM Ac-766, CCRC 13387, KCC S-0565, AS 4.1647",1,1,Streptomyces blastmyceticus,+,acetoin
,,,,,,,antimycin A3
,,,,,,,hydrogen sulfide
,,,,,,,indole
15053,,"DSM 40564, ATCC 27420, CBS 761.72, IFO 13460, ISP 5564, NBRC 13460, NRRL 2876, RIA 1421, UC 12898, JCM 4729, BCRC 15180, CBS 239.69, CGMCC 4.1463, LMG 5969, NCIMB 9754",1,1,Streptomyces bluensis,+,acetoin
,,,,,,,bluensomycin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15054,,"DSM 40056, ATCC 23889, ATCC 3310, CBS 675.68, IFO 13199, IMRU 3310, ISP 5056, NBRC 13199, RIA 1116, JCM 4012, BCRC 13671, CBS 419.34, CGMCC 4.1624, IFO 16166, IMET 41372, JCM 4627, NBRC 16166, NRRL B-1338, NRRL B-2097, VKM Ac-1756",1,1,Streptomyces bobili,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
166390,YC537,"KCTC 39750, DSM 102303",1,1,Streptomyces boluensis,+,hydrogen sulfide
15055,,"DSM 40262, ATCC 25435, CBS 163.64, CBS 667.69, ETH 23899, IFO 13023, ISP 5262, JCM 4459, NBRC 13023, RIA 1215, BCRC 12063, CGMCC 4.1669, CIP 105278, KACC 20131, MTCC 4729, NRRL ISP-5262, VKM Ac-1755",1,1,Streptomyces bottropensis,+,acetoin
,,,,,,,bottromycin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15057,CCIB 71 (IMUR 2572),"DSM 43159, ATCC 23727, CUB 126, IFO 12596, JCM 3086, KCC A-0086, NBRC 12596, RIA 911, BCRC 16849, CBS 520.68, CGMCC 4.1486, IFM 1210, KCTC 9071, KCTC 9195, NBRC 101283, NRRL B-3327, VKM Ac-1310, VKM Ac-656",1,1,Elytrosporangium brasiliense,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,neomycin
16358,MS16-10G,"DSM 41781, AS 4.1653, FERM 8432, IFO 15711, JCM 9925, NBRC 15711, BCRC 16850, CGMCC 4.1653, NRRL B-24305",1,1,Streptomyces bungoensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
164410,ZFG47,"JCM 32897, CICC 11050",1,1,Streptomyces cadmiisoli,+,hydrogen sulfide
,,,,,,,melanin
15062,,"DSM 40084, ATCC 14924, ATCC 15084, CBS 472.68, ETH 24258, IFO 12749, ISP 5084, NBRC 12749, NRRL 2418, RIA 1014, UC 2011, JCM 4218, ATCC 19733, BCRC 13685, CBS 967.70, CGMCC 4.1529, CGMCC 4.1688, IMET 43502, JCM 4566, LMG 5970, LMG 8586, NCIMB 9751, VKM Ac-1822",1,1,Streptomyces caelestis,+,acetoin
,,,,,,,celesticetin
,,,,,,,hydrogen sulfide
,,,,,,,indole
159648,HA15955,"DSM 105693, CGMCC 4.7426",1,1,Streptomyces caeni,+,hydrogen sulfide
,,,,,,,melanin
16477,GIMN4.002,"DSM 42045, CCTCC M 208213, NRRL B-24802",1,1,Streptomyces caeruleatus,+,hydrogen sulfide
15063,T-3018,"DSM 40010, ATCC 13382, ATCC 23890, CBS 676.68, IFO 13200, ISP 5010, JCM 4326, JCM 4628, NBRC 13200, RIA 1103, BCRC 11859, CBS 350.62, CECT 3271, CGMCC 4.1691, IFM 1093, NCIMB 12240, NRRL B-2399, VKM Ac-1185",1,1,Streptomyces calvus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nucleocidin
132985,,"DSM 104041, CCTCC AA 2015006, KCTC 39568, TRM 46794-61",1,1,Streptomyces canalis,+,hydrogen sulfide
,,,,,,,melanin
15066,,"DSM 40141, ATCC 19735, ATCC 19891, ATCC 23891, CBS 677.68, ETH 28543, IFO 12846, INA 5855/54, ISP 5141, JCM 4629, KCC S-0629, NBRC 12846, PSA 183, RIA 1131, BCRC 13760, CGMCC 4.1664, ICMP 12538, KCTC 9020, NCIMB 12827, NRRL ISP-5141, VKM Ac-1091, VTT E-072673",1,1,Streptomyces candidus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16352,D13P3,"DSM 41769, NCIMB 13684, JCM 11444, NBRC 100775",1,1,Streptomyces cangkringensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16188,,"DSM 41453, ATCC 43699, INMI 377, JCM 6914, VKM Ac-68, BCRC 16851, CGMCC 4.1588, IFO 15389, NBRC 15389, NRRL B-16358",1,1,Streptomyces caniferus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15068,456786,"DSM 40017, ATCC 12237, CBS 475.68, IFO 12752, ISP 5017, NBRC 12752, RIA 1017, JCM 4212, ATCC 19737, BCRC 13652, CGMCC 4.1468, IFM 1092, JCM 4569, LMG 19329, NCIMB 9627, NRRL B-1989, NRRL B-3980, VKM Ac-1011",1,1,Streptomyces canus,+,acetoin
,,,,,,,amphomycin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16334,MS 1486,"DSM 41695, IFO 14222, JCM 5075, KCC S-1075, NBRC 14222, NCIMB 12832, NRRL 12279, BCRC 16852, CGMCC 4.1945, KCTC 1719",1,1,Streptomyces capillispiralis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
158362,1H-SSA4,"DSM 104537, CGMCC 4.7403",1,1,Streptomyces capitiformicae,+,hydrogen sulfide
15069,,"DSM 40494, ATCC 19006, CBS 712.72, IFO 13411, ISP 5494, JCM 4253, JCM 4734, NBRC 13411, RIA 1372, BCRC 11860, CGMCC 4.1696, NRRL B-3632",1,1,Streptomyces capoamus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
133057,,"DSM 42145, JCM 30089, EGI 6500195",1,1,Streptomyces capparidis,+,hydrogen sulfide
16202,,"DSM 41468, ATCC 43678, INA 8851, JCM 6915, BCRC 16853, CGMCC 4.1621, IFO 15390, NBRC 15390, NRRL B-16359, VKM Ac-1211",1,1,Streptomyces carpaticus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16301,"70-6-2, M 619","DSM 43835, ATCC 27116, IFO 14214, IMET 43558, JCM 3301, KCC A-0301, NBRC 14214, NRRL B-16921, RIA 982, VKM Ac-1300, VKM Ac-657, BCRC 16854, CGMCC 4.1947, KCTC 9128",1,1,Streptomyces carpinensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15570,BJ-608,"DSM 40830, ATCC 15191, CBS 309.55, IMRU 3559, JCM 4978, BCRC 11879, IFO 15875, INA R-43, NBRC 15875, NRRL B-24289, RIA 851, VKM Ac-832",1,1,Streptomyces rutgersensis subsp. castelarensis,+,camphomycin
15070,6563,"DSM 40258, ATCC 12476, ATCC 23893, CBS 679.68, IFO 12848, ISP 5258, NBRC 12848, RIA 1183, JCM 4353, BCRC 12092, CGMCC 4.1701, HAMBI 986, IMET 42944, KCTC 9223, NRRL B-2342, VKM Ac-758",1,1,Streptomyces catenulae,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,paromomycin
159626,,"DSM 104115, KCTC 39850, SYSU K10008",1,1,Streptomyces cavernae,+,hydrogen sulfide
15073,E-150,"DSM 40189, ATCC 23894, CBS 680.68, IFO 12849, ISP 5189, NBRC 12849, RIA 1143, JCM 4183, CGMCC 4.1637, IMET 41374, JCM 4631, NCIMB 9830, VKM Ac-1222",1,1,Streptomyces cellostaticus,+,acetoin
,,,,,,,cellostatin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15074,,"DSM 40839, ATCC 29806, CECT 7364, ETH 24125, IFO 13780, KCC S-0126, NBRC 13780, NIHJ 198, NRRL B-2493, JCM 4126, CECT 3242, CGMCC 4.1659, KCTC 9702, NBRC 100597, RIA 779, VKM Ac-1819, VTT E-86258",1,1,Streptomyces celluloflavus,+,acetoin
,,,,,,,aureothricin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,thiolutin
15075,,"DSM 40362, ATCC 25439, CBS 122.18, CBS 670.69, IFO 13027, ISP 5362, NBRC 13027, RIA 1219, JCM 4462, BCRC 12087, CGMCC 4.1411, KCTC 9703, LMG 19315, NRRL B-2889, VKM Ac-829",1,1,Streptomyces cellulosae,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15077,,"DSM 40085, ATCC 14922, ATCC 19738, CBS 476.68, IFO 12753, ISP 5085, JCM 4570, NBRC 12753, NRRL 2287, RIA 1018, UC 2012, BCRC 13673, CCT 5005, CGMCC 4.1639, ICMP 154, ICMP 321, KCTC 9704, LMG 8587, NRRL ISP-5085, VKM Ac-1721",1,1,Streptomyces chartreusis,+,acetoin
,,,,,,,chartreusin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15087,,"DSM 40002, ATCC 13358, ATCC 19739, CBS 477.68, IFO 12754, ISP 5002, JCM 4299, JCM 4571, NBRC 12754, RIA 1019, BCRC 13655, CECT 3321, CGMCC 4.1415, KCTC 1087, LMG 19339, NCIMB 9809, NRRL B-2255, NRRL ISP-5002, VKM Ac-1775",1,1,Streptomyces chattanoogensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,natamycin
15088,BE-508,"DSM 40545, ATCC 14947, CBS 745.72, DSM 40820, IFO 13444, IMRU 3835, ISP 5545, NBRC 13444, NCIB 8995, RIA 1405, JCM 4735, KCC S-0735, BCRC 12173, CGMCC 4.1657, MTCC 6922, NCAIM B.01478, NCIMB 10999, NCIMB 8995, NRRL B-3293, NRRL B-3310, NRRL B-3672",1,1,Streptomyces chrestomyceticus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,neomycin E
,,,,,,,neomycin F
15090,13638/58,"DSM 40273, ATCC 23896, CBS 682.68, IFO 12851, ISP 5273, NBRC 12851, RIA 1191, JCM 4354, BCRC 15125, CGMCC 4.1451, INA 13638/58, KCTC 19069, LMG 19317, NRRL B-12175, VKM Ac-974",1,1,Streptomyces chromofuscus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15091,,"DSM 40420, ATCC 19829, CBS 678.72, IFO 13377, INMI 1007 B, ISP 5420, NBRC 13377, RIA 1338, JCM 4737, BCRC 16236, CGMCC 4.1694, NCIMB 10041, NRRL B-12347, VKM Ac-200",1,1,Streptomyces chryseus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15092,PSAM 192,"DSM 40012, ATCC 19740, CBS 479.68, DSM 41512, IFO 12756, ISP 5012, JCM 4205, JCM 4572, KCC S-0205, KCC S-0572, NBRC 12756, RIA 1021, ETH 7451, BCRC 11816, CGMCC 4.1698, KCTC 9706, NCIMB 9797, NRRL 2589, RIA 535, VKM Ac-1860",1,1,Streptomyces cinereoruber subsp. cinereoruber,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,rhodomycin A
,,,,,,,rhodomycin B
16302,,"DSM 41470, ATCC 43680, INA 1719, JCM 6917, BCRC 16855, CGMCC 4.1630, IFO 15397, NBRC 15397, VKM Ac-1215",1,1,Streptomyces cinereospinus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15094,3855,"DSM 43033, ATCC 15840, CBS 356.67, CUB 301, IFO 12247, IMET 43557, IMRU 3855, JCM 3040, KCC A-0040, NBRC 12247, NCIB 9586, NRRL B-2909, VKM Ac-812, BCRC 11616, CGMCC 4.1672, IFM 1137, IFM 1237, KCTC 9066, KCTC 9194, NBIMCC 1639, NCIMB 9586, RIA 809",1,1,Streptomyces cinereus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16312,,"DSM 41651, ATCC 33339, IFO 13822, JCM 3385, NBRC 13822, NRRL B-16928, CGMCC 4.1620",1,1,Streptomyces cinerochromogenes,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15096,,"DSM 40467, ATCC 23617, CBS 671.69, IFO 13028, INA 1242, ISP 5467, NBRC 13028, RIA 1220, JCM 4463, ATCC 25440, BCRC 15162, CGMCC 4.1590, NRRL B-12382, PCM 2311, VKM Ac-1904",1,1,Streptomyces cinnabarinus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15098,Ah-304,"DSM 40803, ATCC 12308, CBS 411.63, IFO 3414, NBRC 3414, NRRL B-1588, JCM 4019, CECT 3198, CGMCC 4.1619, HUT 6050, IFO 15873, KCTC 9708, NBIMCC 67, NBRC 15873, NCIMB 12604, RIA 518, VKM Ac-1912",1,1,Streptomyces virginiae,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16148,A-725,"DSM 40005, ATCC 11874, ATCC 23897, CBS 293.64, CBS 683.68, CCUG 11122, DSM 41431, ETH 13 355, IFO 12852, IMRU 3664, IPV 1776, IPV 2013, IPV 936, ISP 5005, JCM 4152, JCM 4633, KCC S-0152, KCC S-0633, LMG 5971, NBRC 12852, NCIB 8851, NRRL B-1285, RIA 1102, RIA 360, CIP 108152, BCRC 12169, CECT 3258, CGMCC 4.1084, HAMBI 1067, IMET 41381, NCB 93, NCIMB 8851, VKM Ac-876, CCRC 12169, AS 4.1084, AS 4.1706",1,1,Streptomyces cinnamoneus subsp. cinnamoneus,+,cinnamycin
,,,,,,,fungichromin
,,,,,,,indole
15099,12.09,"DSM 40479, ATCC 14699, CBS 699.72, IFO 13398, ISP 5479, JCM 4738, NBRC 13398, RIA 1359, BCRC 16208, CGMCC 4.1679, KCTC 9709, NRRL B-3250, VKM Ac-620, VTT E-052935",1,1,Streptomyces cirratus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15100,,"DSM 40843, CBS 101.27, NRRL B-2557, JCM 5059, CGMCC 4.1604, IFO 15398, NBRC 15398",1,1,Streptomyces clavifer,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15103,,"DSM 40421, ATCC 19830, CBS 679.72, IFO 13378, INMI 20-41, ISP 5421, NBRC 13378, RIA 1339, JCM 4739, BCRC 16237, CGMCC 4.1594, KCTC 19065, NCIMB 10042, NRRL B-12348, VKM Ac-98, VTT E-073027",1,1,Streptomyces violaceoruber,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16204,,"DSM 41471, INA 9630, JCM 6918, BCRC 16856, CGMCC 4.1596, IFO 15399, NBRC 15399, NRRL B-16363, VKM Ac-1221",1,1,Streptomyces coelicoflavus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15104,2922/57,"DSM 40144, ATCC 19741, ATCC 23618, CBS 480.68, IFO 12757, ISP 5144, NBRC 12757, RIA 1022, JCM 4358, BCRC 12186, CGMCC 4.1667, IMET 43574, INA 2922/57, NRRL B-5417, VKM Ac-619",1,1,Streptomyces coeruleofuscus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
16205,,"DSM 41472, ATCC 43681, INA 1655, JCM 6919, BCRC 16857, CGMCC 4.1648, IFO 15400, NBRC 15400, NRRL B-16364, VKM Ac-1208",1,1,Streptomyces coeruleoprunus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15105,,"DSM 40145, ATCC 13740, ATCC 23900, CBS 796.68, ETH 24205, IFO 12855, INA 12531/54, ISP 5145, JCM 4359, NBRC 12855, RIA 1132, BCRC 11463, CGMCC 4.1678, IFM 11211, IMET 42060, KCTC 1743, KCTC 1922, NBIMCC 1152, NCIMB 9620, NRRL B-2569, VKM Ac-576",1,1,Streptomyces coeruleorubidus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15107,4562,"DSM 40146, ATCC 19742, ATCC 19896, CBS 481.68, IFO 12758, ISP 5146, NBRC 12758, RIA 1023",1,1,Streptomyces coerulescens,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
15108,Ist 301,"DSM 40129, ATCC 19743, CBS 482.68, DSM 2012, ETH 24318, IFO 12759, ISP 5129, JCM 4361, RIA 1024, BCRC 11465, CGMCC 4.1623, KCTC 9713, NBRC 12759, NRRL B-5412, VKM Ac-710",1,1,Streptomyces collinus,+,acetoin
,,,,,,,collinomycin
,,,,,,,hydrogen sulfide
,,,,,,,indole
