ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Enzyme activity,Enzyme
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
16490,BK 168,"DSM 42063, KACC 20908, NCIMB 14704",1,1,Streptomyces cocklensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
15103,,"DSM 40421, ATCC 19830, CBS 679.72, IFO 13378, INMI 20-41, ISP 5421, NBRC 13378, RIA 1339, JCM 4739, BCRC 16237, CGMCC 4.1594, KCTC 19065, NCIMB 10042, NRRL B-12348, VKM Ac-98, VTT E-073027",1,1,Streptomyces violaceoruber,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,lysine decarboxylase
,,,,,,+,ornithine decarboxylase
,,,,,,+,urease
16204,,"DSM 41471, INA 9630, JCM 6918, BCRC 16856, CGMCC 4.1596, IFO 15399, NBRC 15399, NRRL B-16363, VKM Ac-1221",1,1,Streptomyces coelicoflavus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
15104,2922/57,"DSM 40144, ATCC 19741, ATCC 23618, CBS 480.68, IFO 12757, ISP 5144, NBRC 12757, RIA 1022, JCM 4358, BCRC 12186, CGMCC 4.1667, IMET 43574, INA 2922/57, NRRL B-5417, VKM Ac-619",1,1,Streptomyces coeruleofuscus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
16205,,"DSM 41472, ATCC 43681, INA 1655, JCM 6919, BCRC 16857, CGMCC 4.1648, IFO 15400, NBRC 15400, NRRL B-16364, VKM Ac-1208",1,1,Streptomyces coeruleoprunus,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,lysine decarboxylase
,,,,,,+,ornithine decarboxylase
,,,,,,+,urease
15105,,"DSM 40145, ATCC 13740, ATCC 23900, CBS 796.68, ETH 24205, IFO 12855, INA 12531/54, ISP 5145, JCM 4359, NBRC 12855, RIA 1132, BCRC 11463, CGMCC 4.1678, IFM 11211, IMET 42060, KCTC 1743, KCTC 1922, NBIMCC 1152, NCIMB 9620, NRRL B-2569, VKM Ac-576",1,1,Streptomyces coeruleorubidus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
15107,4562,"DSM 40146, ATCC 19742, ATCC 19896, CBS 481.68, IFO 12758, ISP 5146, NBRC 12758, RIA 1023",1,1,Streptomyces coerulescens,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
15108,Ist 301,"DSM 40129, ATCC 19743, CBS 482.68, DSM 2012, ETH 24318, IFO 12759, ISP 5129, JCM 4361, RIA 1024, BCRC 11465, CGMCC 4.1623, KCTC 9713, NBRC 12759, NRRL B-5412, VKM Ac-710",1,1,Streptomyces collinus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
15112,,"DSM 40340, ATCC 25444, CBS 677.69, IFO 13032, ISP 5340, JCM 4286, KCC S-0286, NBRC 13032, NCIB 9476, RIA 1224, BCRC 11821, CGMCC 4.1592, JCM 4467, KCTC 9715, LMG 20488, NCIMB 9476, NCIMB 9979, NRRL B-12289, VKM Ac-1906",1,1,Streptomyces corchorusii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
157890,A7024,"DSM 42066, KCTC 29102, NRRL B-24888",1,1,Streptomyces coryli,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
16376,CR-43,"DSM 41827, ATCC 55274, JCM 11306, NCIMB 13455, NRRL B-16897, BCRC 16858, NBRC 100773",1,1,Streptomyces murinus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
15113,,"DSM 40147, ATCC 19744, ATCC 19897, CBS 483.68, ETH 24195, IFO 12760, INA 815/54, ISP 5147, NBRC 12760, RIA 1025, JCM 4362, BCRC 11466, CBS 111.60, CGMCC 4.1625, IMET 43743, NCIMB 10030, NCIMB 9596, NRRL 3241, NRRL B-2583, VKM Ac-1844",1,1,Streptomyces cremeus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
16176,,"DSM 40945, JCM 5067, KCC S-1067, NRRL (= Lederle T-1384), NRRL B-3629, CGMCC 4.1600, IFO 15401, KCTC 9717, NBRC 15401, NCIMB 12860",1,1,Streptomyces crystallinus,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,tryptophan deaminase
15114,,"DSM 40107, ATCC 13385, CBS 484.68, IFO 12761, ISP 5107, JCM 4219, NBRC 12761, RIA 1026, SC 3064, ATCC 19745, BCRC 13766, CCT 4642, CCT 4643, CGMCC 4.1680, JCM 4573, LMG 8588, NRRL B-2901, RIA 849, VKM Ac-621",1,1,Streptomyces curacoi,+,arginine dihydrolase
,,,,,,+,gelatinase
,,,,,,+,lysine decarboxylase
,,,,,,+,ornithine decarboxylase
,,,,,,+,urease
15115,,"DSM 40148, ATCC 19746, ATCC 23619, CBS 485.68, ETH 24190, IFO 13190, INA 99/54, ISP 5148, NBRC 13190, RIA 1027, JCM 4364, BCRC 11467, CGMCC 4.1612, IMET 41583, KCCM 40517, NCIMB 13021, NRRL B-2570, VKM Ac-752, VTT E-072752",1,1,Streptomyces cyaneofuscatus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
15120,,"DSM 40149, ATCC 19747, ATCC 23620, CBS 486.68, IFO 12762, INA 2656/55, ISP 5149, JCM 4365, NBRC 12762, RIA 1028, BCRC 11468, CGMCC 4.1690, NRRL B-5418, VKM Ac-1722, VKM Ac-1862",1,1,Streptomyces daghestanicus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
140909,NEAU-ZJC8,"CGMCC 4.7178, JCM 30057, DSM 111118",1,1,Streptomyces daqingensis,+,catalase
158385,,"DSM 101723, JCM 4913",1,1,Streptomyces davaonensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
134332,DAS-139,"KCTC 19241, CCTCC AA 207004",1,1,Streptomyces deccanensis,+,gelatinase
16179,,"DSM 41427, AS 4.1861, IFO 13977, JCM 4550, KCC S-0550, NBRC 13977, NCIB 9752, NRRL 2666, CGMCC 4.1861, CGMCC 4.1915, CIP 106836, NCIMB 10502, NCIMB 9752, NRRL ISP-5087",1,1,Streptomyces decoyicus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
16442,RGB A-777,"DSM 41600, NRRL B-1478",1,1,Streptomyces hygroscopicus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-glucosidase
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,trypsin
159788,XZHG99,"CGMCC 4.7472, KCTC 49090",1,1,Streptomyces dengpaensis,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
,,,,,,+,trypsin
15255,Duché,"DSM 40324, AS 4.1854, ATCC 10975, ATCC 25455, CBS 422.34, CBS 688.69, ETH 10213, IFO 13043, IFO 3198, IMRU 3590, ISP 5324, JCM 4136, JCM 4478, KCC S-0136, KCC S-0478, NBRC 13043, NBRC 3198, PSA 224, BCRC 12105, CGMCC 4.1854, CGMCC 4.1885, CGMCC 4.2081, IMET 40289, NRRL B-1344, NRRL B-1903, RIA 1235, VKM Ac-713",1,1,Streptomyces diastaticus,+,gelatinase
,,,,,,+,urease
15125,Ogata 207,"DSM 40449, ATCC 12309, CBS 370.58, CBS 690.72, ETH 31546, IFO 13389, IFO 3337, ISP 5449, JCM 4119, JCM 4746, KCC S-0119, KCC S-0746, NBRC 13389, NBRC 3337, NRRL B-1698, PSA 218, RIA 1350, VKM Ac-1760, BCRC 13668, CFBP 4540, CGMCC 4.1606, CIP 105123, KACC 20133, VTT E-042624, CCM 3113, KCC S-0244",1,1,Streptomyces diastatochromogenes,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,lysine decarboxylase
,,,,,,+,ornithine decarboxylase
,,,,,,+,urease
15128,FH 1279,"DSM 40743, ATCC 13441, JCM 4957, CGMCC 4.1674, IFO 15409, KCTC 9722, NBRC 15409, NRRL B-12103",1,1,Streptomyces djakartensis,+,gelatinase
,,,,,,+,urease
16403,M7a,"DSM 41857, CCT 5476, CIP 107837, NBRC 101007, NRRL B-24297, CBMAI 498, JCM 13580, CBMAI 0498",1,1,Streptomyces drozdowiczii,+,acid phosphatase
,,,,,,+,alpha-mannosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
158423,NEAU-S1GS20,"DSM 104538, CCTCC AA 2017006",1,1,Streptomyces durbertensis,+,urease
15129,59123,"DSM 40539, ATCC 23194, CBS 742.72, IFO 13441, ISP 5539, JCM 4291, NBRC 13441, RIA 1402, BCRC 16203, CGMCC 4.1699, HAMBI 1064, IMET 43359, JCM 4747, KCTC 9723, NRRL B-3309, NRRL ISP-5539, VKM Ac-763",1,1,Streptomyces durhamensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
16406,MS 405,"DSM 41863, CIP 108995, JCM 16011",1,1,Streptomyces durmitorensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
16335,,"DSM 41696, IFO 14238, JCM 5016, KCC S-0516, NBRC 14238, NCIMB 12831, NRRL 8144, BCRC 16859, CGMCC 4.1707, KCTC 9725, KCTC 9776",1,1,Streptomyces echinoruber,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,tryptophan deaminase
16503,,"DSM 41984, CCTCC AA 209036, YIM 65594",1,1,Streptomyces endophyticus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
16190,,"DSM 41454, ATCC 43682, INMI 40-31, VKM Ac-130, JCM 9088, CGMCC 4.1586, NBRC 100763, NRRL B-16365",1,1,Streptomyces rochei,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,lysine decarboxylase
,,,,,,+,ornithine decarboxylase
,,,,,,+,urease
15134,,"DSM 40116, AS 4.1373, ATCC 27427, CBS 485.74, ISP 5116, IAUR 1173, JCM 9650, BCRC 13770, CGMCC 4.1373, IFO 14601, NBRC 14601, NRRL B-3808, VTT E-022183",1,1,Streptomyces griseoincarnatus,+,beta-galactosidase
,,,,,,+,gelatinase
16158,"549-A1, 549-A1 (NIHJ 267)","DSM 40604, ATCC 27428, CBS 792.72, IFO 13491, ISP 5604, JCM 4029, NBRC 13491, NIHJ 267, NRRL B-1676, RIA 1452, RIA 733, BCRC 12424, CECT 3259, CGMCC 4.1086, CIP 108155, IMET 43412, JCM 4749, KCTC 9884, MTCC 2531, NCB 264, VKM Ac-903, CCRC 12424, KCC S-0749, AS 4.1086",1,1,Streptomyces eurocidicus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,gelatinase
,,,,,,+,lecithinase
16371,,"DSM 41802, CFBP 4497, NCPPB 4039, CIP 107142, ICMP 13714, CIP 107062",1,1,Streptomyces europaeiscabiei,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
15135,,"DSM 40014, ATCC 14975, ATCC 19749, CBS 488.68, IFO 12764, ISP 5014, NBRC 12764, NRRL 2539, RIA 1030, JCM 4206, BCRC 13650, CGMCC 4.1697, IMET 43078, JCM 4575, KCTC 9731, VKM Ac-1729",1,1,Streptomyces eurythermus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase lipase (C 8)
15136,,"DSM 40060, ATCC 12627, ATCC 19750, CBS 489.68, ETH 24304, IFO 13191, IMRU 3316, ISP 5060, NBRC 13191, NRRL B-1237, RIA 1031, CCUG 11113, CCM 3169, JCM 4366, BCRC 11469, CGMCC 4.1407, ICMP 1008, LMG 19307, NCIMB 12599, NRRL B-2924, PCM 2367, VKM Ac-767, VTT E-86262, CIP 108233",1,1,Streptomyces exfoliatus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
15139,1-C-9,"DSM 40022, ATCC 19753, CBS 492.68, IFO 12767, ISP 5022, NBRC 12767, RIA 1034, JCM 4122, BCRC 13644, CGMCC 4.1656, HAMBI 1010, IFM 1180, IMET 43562, JCM 4576, NCIMB 13018, NRRL B-2114, VKM Ac-1266",1,1,Streptomyces filamentosus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
15140,114-8,"DSM 40112, ATCC 23905, CBS 309.56, CBS 801.68, DSM 41155, ETH 20722, ETH 28584, ETH 28594, IFO 12860, ISP 5112, JCM 4369, KCC S-0369, NBRC 12860, NRRL 2437, RIA 1124, BCRC 11472, CGMCC 4.1452, LMG 19333, VKM Ac-966",1,1,Streptomyces filipinensis,+,gelatinase
,,,,,,+,urease
15142,,"DSM 40942, ATCC 15051, CBS 453.65, NRRL B-3175, JCM 5080, CGMCC 4.1598, IFO 15411, KCTC 19940, MTCC 1768, NBRC 15411, NCIMB 13039, VKM Ac-761",1,1,Streptomyces fimbriatus,+,beta-galactosidase
,,,,,,+,tryptophan deaminase
15154,Actinomyces 168,"DSM 40061, ATCC 19754, ATCC 25460, ATCC 3319, CBS 493.68, CBS 693.69, DSM 40328, ETH 12399, IAM 0117, IFO 12768, IMET 40233, IMRU 3319, ISP 5061, ISP 5328, JCM 4032, JCM 4577, KCC S-0032, KCC S-0577, NBRC 12768, NRRL B-1334, NRRL B-2688, RIA 1035, BCRC 12489, CBS 128.20, CCM 3171, CECT 3181, CGMCC 4.1432, HAMBI 893, ICMP 392, IFO 3408, IFO 3715, KCTC 9022, LMG 19328, NBRC 3408, NBRC 3715, RIA 485, VKM Ac-965",1,1,Streptomyces flaveolus,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,tryptophan deaminase
,,,,,,+,urease
15160,,"DSM 40150, AS 4.1374, ATCC 19900, CBS 684.69, ETH 28431, IFO 13039, INA 12287, ISP 5150, NBRC 13039, RIA 1231, JCM 4474, ATCC 25451, BCRC 13761, CGMCC 4.1374, IMET 43744, NRRL B-2708, VKM Ac-1771",1,1,Streptomyces flavidovirens,+,beta-galactosidase
15161,Medipex SA-IX-3,"DSM 40366, ATCC 27430, CBS 411.59, CBS 672.72, IFO 13371, ISP 5366, JCM 4753, NBRC 13371, RIA 1332, BCRC 15154, LMG 8598, NRRL B-12307, VKM Ac-1179",1,1,Streptomyces flavofungini,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,lysine decarboxylase
,,,,,,+,ornithine decarboxylase
,,,,,,+,urease
15162,,"DSM 40152, ATCC 19757, ATCC 23621, CBS 495.68, IFO 12770, INA 11669/58, ISP 5152, NBRC 12770, RIA 1037, JCM 4371, BCRC 13762, CGMCC 4.1959, IMET 42057, NRRL B-5419, VKM Ac-1277",1,1,Streptomyces flavotricini,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
16210,,"DSM 41479, ATCC 43684, DSM 41503, DSM 41688, INMI 702, NRRL B-16367, VKM Ac-141, JCM 9089, CGMCC 4.1942, NBRC 100764",1,1,Streptomyces variegatus,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,lysine decarboxylase
,,,,,,+,ornithine decarboxylase
,,,,,,+,urease
15163,,"DSM 40062, ATCC 19758, ATCC 3320, CBS 129.20, CBS 496.68, IFO 12771, IFO 3412, IMRU 3320, ISP 5062, JCM 4035, JCM 4578, KCC S-0035, NBRC 12771, NBRC 3412, NRRL B-1329, NRRL B-2685, RIA 1038, RIA 635, BCRC 13689, CBS 189.75, CBS 279.30, CCM 3243, CGMCC 4.0575, HAMBI 1007, HUT 6019, HUT 6053, ICMP 479, IFO 3197, IFO 3716, IMET 40280, LMG 20516, NBRC 3197, NBRC 3716, VKM Ac-1723, VTT E-052937, VTT E-82159",1,1,Streptomyces flavovirens,+,beta-galactosidase
,,,,,,+,gelatinase
15168,,"DSM 40153, ATCC 19759, ATCC 19903, CBS 497.68, IFO 12772, INA 2314/53, ISP 5153, NBRC 12772, RIA 1039, JCM 4372, BCRC 11474, CGMCC 4.1960, IMET 42058, NRRL ISP-5153, VKM Ac-754",1,1,Streptomyces pilosus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
131026,1H-GS9,"DSM 100524, CGMCC 4.7277",1,1,Streptomyces formicae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,gelatinase
130728,MV32,"DSM 42163, NRRL B-59159",1,1,Streptomyces fractus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
15205,,"DSM 40044, ATCC 23908, CBS 804.68, IFO 12862, ISP 5044, NBRC 12862, NRRL 2424, RIA 1111, PD 04926, JCM 4187, BCRC 13654, CGMCC 4.1955, HAMBI 1083, HAMBI 1090, IMET 43575, JCM 4638, NCIMB 9795, VKM Ac-1773",1,1,Streptomyces fragilis,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,tryptophan deaminase
16304,,"DSM 41455, INMI 34-280, JCM 9090, VKM Ac-158, IFO 15897, LMG 19901, NBRC 15897, NRRL B-24329, VTT E-072709",1,1,Streptomyces fulvorobeus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
15208,,"DSM 40154, ATCC 19904, ATCC 25454, CBS 260.66, CBS 687.69, IFO 13042, INA 10256/54, ISP 5154, JCM 4477, KCC S-0477, NBRC 13042, VKM Ac-1845, BCRC 12058, CGMCC 4.1732, NRRL B-3898, NRRL B-5420, RIA 1234",1,1,Streptomyces fumanus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
15209,145,"DSM 43154, ATCC 19345, JCM 3101, KCC A-0101, RIA 884, BCRC 12344, CBS 639.66, CGMCC 4.1909, CMI 117720, IFO 12999, NBRC 12999, NCIMB 11004, NRRL B-3856",1,1,Streptomyces fumigatiscleroticus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,gelatinase
133306,m16,"CGMCC 4.7110, KCTC 29195",1,1,Streptomyces fuscichromogenes,+,catalase
15211,Wind 731,"DSM 40089, ATCC 23910, CBS 831.68, ETH 24322, IFO 12864, ISP 5089, NBRC 12864, NRRL B-2283, RIA 1121, JCM 4222, BCRC 12166, CGMCC 4.1958, IMET 42937, JCM 4639, KCTC 19063, NBIMCC 3644, NCIMB 13005, VKM Ac-165",1,1,Streptomyces galbus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
15215,,"DSM 40935, IFM 1024, JCM 4171, KCC S-0171, NRRL B-1872, CGMCC 4.1971, IFO 15412, KCTC 19062, NBRC 15412, NCIMB 12858",1,1,Streptomyces gancidicus,+,arginine dihydrolase
,,,,,,+,beta-galactosidase
,,,,,,+,gelatinase
,,,,,,+,tryptophan deaminase
,,,,,,+,urease
15216,,"DSM 40064, ATCC 23911, ATCC 9604, CBS 832.68, DSM 43020, ETH 28347, IFO 12865, IFO 13974, IFO 3385, IMET 7182, IMRU 3834, ISP 5064, JCM 3004, JCM 4375, KCC A-0004, KCC S-0375, NBRC 12865, NBRC 13974, NBRC 3385, RIA 1117, RIA 634, BCRC 12346, BCRC 13687, BCRC 13731, CGMCC 4.1956, NCTC 6531, NRRL B-5615, VKM Ac-1829",1,1,Streptomyces gardneri,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
